Q1,119.96,49.43,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,66.03,17.24,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
Q3,75.09,21.79,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1,151.89,43.16,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
R1-PINH1,86.81,62.13,0.00,10K,EAGLE-LTSPICE_C0402
R10,90.91,51.01,90.00,15,EAGLE-LTSPICE_C0402
R1_BAT,111.26,58.51,180.00,200,EAGLE-LTSPICE_C0402
R1_PWRUSB,48.16,97.61,90.00,100K,EAGLE-LTSPICE_C0402
R2,95.65,12.40,180.00,2.2,EAGLE-LTSPICE_C0402
R2-PINH1,91.66,59.91,90.00,10K,EAGLE-LTSPICE_C0402
R2-USB_5K1,153.42,53.81,0.00,5k1,EAGLE-LTSPICE_C0402
R2-USB_5K2,153.42,52.57,180.00,5k1,EAGLE-LTSPICE_C0402
R2_BAT,107.80,58.51,180.00,2K,EAGLE-LTSPICE_C0402
R3,95.68,13.46,180.00,10K,EAGLE-LTSPICE_C0402
R4,95.67,14.51,180.00,0.47,EAGLE-LTSPICE_C0402
R5,21.60,25.67,270.00,10K,EAGLE-LTSPICE_C0402
R6,158.24,7.33,90.00,10K,EAGLE-LTSPICE_C0402
R7,157.19,7.32,90.00,10K,EAGLE-LTSPICE_C0402
RESET_BUTTON,24.00,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,78.28,106.72,0.00,TPTP20R,TP20R
R_BOOT,60.27,108.79,270.00,10k,EAGLE-LTSPICE_C0402
R_CHANGE,45.16,108.79,270.00,10k,EAGLE-LTSPICE_C0402
R_CL1,77.69,20.34,180.00,10K,EAGLE-LTSPICE_C0402
R_EPD_CS,72.48,13.97,90.00,10k,EAGLE-LTSPICE_C0402
R_FLASH_CS,32.42,36.20,90.00,10k,EAGLE-LTSPICE_C0402
R_MISO,38.91,20.76,270.00,10k,EAGLE-LTSPICE_C0402
R_MOSI',39.96,20.75,270.00,10k,EAGLE-LTSPICE_C0402
R_RESET,20.30,108.86,270.00,10k,EAGLE-LTSPICE_C0402
R_SCK,37.00,20.76,270.00,10k,EAGLE-LTSPICE_C0402
R_SS_SD,7.13,99.94,90.00,10k,EAGLE-LTSPICE_C0402
SCK,87.74,102.55,0.00,TPTP20R,TP20R
SENSOR2,158.74,11.95,180.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,70.30,9.98,0.00,,SJ
TX,73.41,106.69,0.00,TPTP20R,TP20R
U1,15.80,37.76,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,56.82,80.62,180.00,MAX17048G+T10,SON50P200X200X80-9N
U3,84.24,55.08,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,36.18,43.65,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
VBAT,83.13,106.71,0.00,TPTP20R,TP20R
VBUS,77.84,94.44,0.00,TPTP20R,TP20R
